Time,Chamber Pressure [Bar],N2 Pressure [Bar],Leakage Rate [Bar/Min],Wall Temp [C],Coolant In Temp [C],Coolant Out Temp [C],Injector Temp [C],Internal Temp [C],Pressure Temp [C],Rate of Temp Change [C/min],Heater On
06/14/2024 09:51:17.967 AM,-0.7145644426,0.460857302,-35.41352081,23.06419754,43.15511322,42.87354279,39.74094009,22.27131271,21.721035,0.1589977865,0
06/14/2024 09:51:30.368 AM,-0.7265094519,0.3796286285,7.33446455,23.09537506,43.14730453,42.87194061,39.82430267,22.91976547,21.73873329,0.234329118,0
06/14/2024 09:51:31.368 AM,-0.865075767,0.3270688057,-0.414943397,23.09971428,43.14643478,42.86929321,39.83747101,22.93598938,21.73747063,0.1650726608,0
06/14/2024 09:51:32.367 AM,-0.7695137262,0.3127343953,0.14121674,23.10217094,43.14672089,42.87614441,39.8473587,22.94999695,21.73615456,0.04944166335,0
06/14/2024 09:51:33.367 AM,5.750254154,0.3605154157,58.08366394,23.1085186,43.14516449,42.87245941,39.86268234,23.48955917,21.74460793,0.3693715098,0
06/14/2024 09:51:34.368 AM,5.604521275,0.3676831126,97.50178528,23.10853195,43.14287567,42.87034607,39.93734741,25.00581932,21.86151314,-0.0045090583,0
06/14/2024 09:51:35.367 AM,5.544794559,0.2577866316,94.22332001,23.1113224,43.14154053,42.8723793,39.96622467,25.02698708,21.90727806,0.2435103033,0
06/14/2024 09:51:36.368 AM,5.547183514,0.3629053235,83.60519409,23.11687088,43.14167786,42.87145233,39.99302292,24.98788643,21.93573189,0.1677033151,0
06/14/2024 09:51:37.367 AM,5.516125679,0.3199020922,70.91230774,23.1224575,43.14114761,42.86914825,40.00581741,24.93402863,21.92485237,0.3486087553,0
06/14/2024 09:51:38.367 AM,5.523293495,0.4560784996,60.66952896,23.12709045,43.14002991,42.86838531,40.01145172,24.87652779,21.9029274,0.269538541,0
06/14/2024 09:51:39.368 AM,5.530459404,0.3939630389,52.08700943,23.13072777,43.13598633,42.86965942,40.01379776,24.83320427,21.88005829,0.1478212198,0
06/14/2024 09:51:40.368 AM,5.587797642,0.3461820185,42.99605179,23.13233757,43.13632584,42.86698914,40.0127182,24.80925369,21.87192535,0.1462508408,0
06/14/2024 09:51:41.367 AM,5.537626743,0.3318476081,29.45869827,23.13838387,43.13465118,42.86513519,40.01352692,24.77083969,21.85326004,0.1607989134,0
06/14/2024 09:51:42.368 AM,5.516125679,0.286454469,11.37595749,23.14271736,43.13430405,42.86815643,40.01388931,24.73406982,21.83534241,0.2795922137,0
06/14/2024 09:51:43.368 AM,5.523293495,0.3318476081,-0.6089268923,23.14842987,43.13797379,42.86118698,40.01543427,24.69767952,21.82249641,0.3873215519,0
06/14/2024 09:51:44.368 AM,5.520904541,0.3533487022,-0.2892497778,23.14995956,43.14196014,42.86588287,40.00983429,24.68294716,21.81783295,0.1333949194,0
06/14/2024 09:51:45.368 AM,5.542405605,0.3533487022,-0.1796924919,23.15500641,43.1465683,42.87226868,40.00983429,24.65153503,21.80925751,0.3252658371,0
06/14/2024 09:51:46.368 AM,5.525682449,0.3127343953,-0.05395637825,23.15852928,43.15180969,42.87431717,40.00993347,24.61928749,21.801651,0.318875127,0
06/14/2024 09:51:47.368 AM,5.530459404,0.3175121844,-0.06156121939,23.16122055,43.14966965,42.87607574,40.00849533,24.5921669,21.80062866,0.1565157663,1
06/14/2024 09:51:48.367 AM,5.377559662,0.4990817308,-0.00734614674,23.16711426,43.14624786,42.87815094,40.00844574,24.56533241,21.79123306,0.3394102987,1
06/14/2024 09:51:49.367 AM,5.406228542,0.5014716387,-0.02916004881,23.16872215,43.14676666,42.8792038,40.00825119,24.55217934,21.7879715,0.1403962779,1
06/14/2024 09:51:50.368 AM,5.642746449,0.2338946164,0.1382175386,23.17275429,43.14576721,42.87465668,40.00796509,24.52459717,21.78594589,0.06758593599,1
